method,city,period,seed,n_users,n_users_overlap,k,ari,silhouette,dbi,csr,ts
kmeans,City-C,2024-10,1,650,650.0,8,0.4449366060127851,0.46823645996992996,0.8606589691445095,0.10307692307692308,0.9253560812061858
kmeans,City-C,2024-11,1,650,650.0,8,0.4145511463901053,0.3764238014614175,1.0215486429552005,0.42153846153846153,3.784292033589477
kmeans,City-C,2024-12,1,650,650.0,8,0.40230908336494986,0.3871087155596817,0.9439855236621351,0.17384615384615384,1.560675181735806
dynec,City-A,2024-01,1,800,,8,0.8475231042077301,0.5320670495913024,0.5141779542601055,,
dynec,City-A,2024-02,1,800,800.0,8,0.8771649891370148,0.6670685567448663,0.536492567455858,0.0225,0.007075286188304981
dynec,City-A,2024-03,1,800,800.0,8,0.8253481865920292,0.6115452124267742,0.785744583649163,0.01875,0.002646993546743478
dynec,City-A,2024-04,1,800,800.0,8,0.770968454276676,0.6396816033526536,0.7835652603708754,0.01625,0.009388780797980145
dynec,City-A,2024-05,1,800,800.0,8,0.6977768005973616,0.6179359742877479,0.7566581755729195,0.01625,0.010188353784053108
dynec,City-A,2024-06,1,800,800.0,8,0.6293469765112065,0.5956977604133801,0.8133705846377774,0.02875,0.009535819646809742
dynec,City-A,2024-07,1,800,800.0,8,0.5372064776688991,0.6187204721279468,0.6050962199128215,0.01625,0.008640526903213768
dynec,City-A,2024-08,1,800,800.0,8,0.4695467788392403,0.5702948665039481,0.818395334817117,0.0225,0.008294707460774473
dynec,City-A,2024-09,1,800,800.0,8,0.45416032444885573,0.5088932204122147,0.8293010312781003,0.02,0.009579883187208968
dynec,City-A,2024-10,1,800,800.0,8,0.45606230680212567,0.5709687146445186,0.7631911303551299,0.01125,0.0030584863372208958
dynec,City-A,2024-11,1,800,800.0,8,0.4515652532419125,0.5531666729912632,0.8082262828193734,0.01,0.0020267114080102107
dynec,City-A,2024-12,1,800,800.0,8,0.45157580804488817,0.5778565738402758,0.7749302231420236,0.00375,0.002123331203274953
dynec,City-B,2024-01,1,500,,8,0.8923206287763216,0.6418850871467444,0.4266952362548565,,
dynec,City-B,2024-02,1,500,500.0,8,0.8863064033455617,0.6647421951835808,0.41064574181317126,0.006,0.012965919788421676
dynec,City-B,2024-03,1,500,500.0,8,0.8793990222168243,0.6626425500895169,0.436618872289992,0.004,0.00339517096666726
dynec,City-B,2024-04,1,500,500.0,8,0.8628700219494224,0.6676793929012856,0.42318140063317283,0.01,0.005540160406469926
dynec,City-B,2024-05,1,500,500.0,8,0.8335447607742928,0.6899830331287299,0.4179218110103872,0.008,0.0035302553396723336
dynec,City-B,2024-06,1,500,500.0,8,0.8180913096215588,0.6562036340202367,0.43917957689312953,0.004,0.0012517246578050841
dynec,City-B,2024-07,1,500,500.0,8,0.8066298813486414,0.5922258081917307,0.48598068390834337,0.008,0.005481539469771105
dynec,City-B,2024-08,1,500,500.0,8,0.7747782062831314,0.6113828471978162,0.4714606163387087,0.012,0.004852974479216864
dynec,City-B,2024-09,1,500,500.0,8,0.7768772251270994,0.6304584298247796,0.5690179970908553,0.016,0.018629150313156383
dynec,City-B,2024-10,1,500,500.0,8,0.7625077580658638,0.6508184969160092,0.4580307189027033,0.018,0.0030108826410760133
