method,city,period,n_users,k,ari,silhouette,dbi,csr,ts
kmeans,City-A,2024-01,800,4,0.45686732614195164,0.39716328979527643,0.9088789593188414,,
kmeans,City-A,2024-02,800,4,0.44051414175441833,0.4028718802280922,0.868161707660504,0.02875,0.23819392420614938
kmeans,City-A,2024-03,800,4,0.4245903704802516,0.40775007475054964,0.8621258003815104,0.02375,0.19676889390942776
kmeans,City-A,2024-04,800,4,0.3980153120567923,0.39853035967065936,0.8872621493749809,0.02875,0.23819392420614938
kmeans,City-A,2024-05,800,4,0.2805149359452513,0.42013425392242865,1.0466590637785083,0.41125,3.407208741905354
kmeans,City-A,2024-06,800,4,0.3239906612156067,0.38772787549547016,0.9158065507334776,0.41375,3.427921257053715
kmeans,City-A,2024-07,800,4,0.28486069184779195,0.3891373853881521,0.9134461566840932,0.025,0.20712515148360816
kmeans,City-A,2024-08,800,4,0.19020592673122502,0.4064538733396442,1.0739603974889746,0.4275,3.5418400903696994
kmeans,City-A,2024-09,800,4,0.23179823118449505,0.38361306386143396,0.9385219297898921,0.41625,3.4486337722020757
kmeans,City-A,2024-10,800,4,0.16623551056172345,0.4067462776749951,1.0805897644917573,0.43625,3.6143338933889617
kmeans,City-A,2024-11,800,4,0.17906515014807592,0.4049999038672667,1.0769407249252412,0.0325,0.26926269692869065
kmeans,City-A,2024-12,800,4,0.2282211331595097,0.3806195659417016,0.9371246709910259,0.41625,3.4486337722020757
kmeans,City-B,2024-01,500,4,0.27630776133529494,0.660148348648188,0.6859872741744328,,
kmeans,City-B,2024-02,500,4,0.579879777691598,0.5612305310162105,0.7152006027965747,0.318,2.6346319268714957
kmeans,City-B,2024-03,500,4,0.5742717973032028,0.5591284186642436,0.7157869836671318,0.002,0.016570012118688658
kmeans,City-B,2024-04,500,4,0.5626726933731301,0.5595103764209246,0.6822889102605632,0.05,0.41425030296721627
kmeans,City-B,2024-05,500,4,0.5498551028481022,0.5525998268430584,0.7209382090117562,0.044,0.36454026661115035
kmeans,City-B,2024-06,500,4,0.5369122448051571,0.5488827307063857,0.7268488452386384,0.002,0.01657001211868865
kmeans,City-B,2024-07,500,4,0.25172426542453036,0.6610706375813413,0.5569727437217045,0.276,2.286661672379034
kmeans,City-B,2024-08,500,4,0.5043078224690908,0.5445813170836482,0.7238482336472978,0.278,2.3032316844977223
kmeans,City-B,2024-09,500,4,0.48872847143094017,0.5501260170609427,0.6918046183690764,0.046,0.38111027872983905
kmeans,City-B,2024-10,500,4,0.4954622071890267,0.5476823213349525,0.6965623726755384,0.004,0.03314002423737726
kmeans,City-B,2024-11,500,4,0.49258333709407115,0.5406408226961601,0.7374990185687778,0.046,0.38111027872983905
kmeans,City-B,2024-12,500,4,0.48860202516438167,0.5305366767118093,0.7532992099734466,0.006,0.04971003635606592
kmeans,City-C,2024-01,650,4,0.525839083053386,0.4421303798974633,0.922363776217466,,
kmeans,City-C,2024-02,650,4,0.48606470503169585,0.45307880277903756,0.8392310016209868,0.08,0.6628004847475462
kmeans,City-C,2024-03,650,4,0.4684031020219037,0.45000448225488787,0.8431493495673725,0.003076923076923077,0.02549232633644406
kmeans,City-C,2024-04,650,4,0.43204853625626133,0.4475497488420214,0.8464923664009336,0.015384615384615385,0.1274616316822204
kmeans,City-C,2024-05,650,4,0.40851315910251984,0.4454838819106898,0.8507901999836189,0.013846153846153847,0.11471546851399836
kmeans,City-C,2024-06,650,4,0.30919423312623534,0.4734770897818206,0.8890575740997179,0.42153846153846153,3.4924487080928386
kmeans,City-C,2024-07,650,4,0.2963071776123386,0.4724701642892872,0.9227010321400727,0.004615384615384616,0.03823848950466608
kmeans,City-C,2024-08,650,4,0.2730249013685622,0.4706960854365051,0.9208415188401342,0.006153846153846154,0.050984652672888195
kmeans,City-C,2024-09,650,4,0.3148861441859959,0.43404637778440935,0.8742690027430293,0.43846153846153846,3.6326565029432816
kmeans,City-C,2024-10,650,4,0.31420284689449673,0.43272472656805366,0.8789369367866666,0.006153846153846154,0.05098465267288816
kmeans,City-C,2024-11,650,4,0.3088933829403667,0.4265736068114991,0.8923054864098423,0.03230769230769231,0.2676694265326628
kmeans,City-C,2024-12,650,4,0.28190710596511015,0.32123509947668044,0.987701436796597,0.4815384615384615,3.9895490716534985
